COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 7120 
 NOMBRE    : NEZAHUALCOYOTL 
 ESTADO    : CHIAPAS 
 MUNICIPIO : TECPATÁN 
 SITUACIÓN : SUSPENDIDA 
 CVE-OMM   :   
 LATITUD   : 17.16666667 ° 
 LONGITUD  : -93.41666667 ° 
 ALTITUD   : 192 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1969									74.4	47.2	43.5	6.3	171.4	42.9	4
1970	20	23.8	16.4	5.5	85.5	72.5	59.1	117.8	80	79.9	29	16.8	606.3	50.5	12
1972	40	17.2	40.3	34	36.3	71.5	44.8	82	48.5	46	32.2	49.9	542.7	45.2	12
1973	8.5	18.8	3.6	8.2	96.8	58	87.2	104.7	105.2	55	119	13.1	678.1	56.5	12
1974	81.1	91.8		92.6	86.4		28.5	47	96.1	113.4	26.8	7.4	671.1	67.1	10
1975	26.7	11.4		19.6	21.9	42	13.3	41.6	88	81.4	68	17.2	431.1	39.2	11
1976	47.2	38.8	15.5	19.8	53.8	86.3	71.5	70.3	56.5	58.2			517.9	51.8	10
MÍNIMA	8.5	11.4	3.6	5.5	21.9	42	13.3	41.6	48.5	46	26.8	6.3	171.4	39.2	4
MÁXIMA	81.1	91.8	40.3	92.6	96.8	86.3	87.2	117.8	105.2	113.4	119	49.9	678.1	67.1	12
MEDIA	37.2	33.6	19	30	63.5	66.1	50.7	77.2	78.4	68.7	53.1	18.4	516.9	50.5	10.1
DESV.ST	25.6	30	15.4	32.3	30.6	16.8	27.4	30.5	20.5	24.4	35.7	16.1	175.7	9.4	2.9

LLUVIA TOTAL MENSUAL
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1969									375.2	274.8	172.1	12	834.1	208.5	4
1970	63.5	46.6	27.8	17.2	151.7	354.3	543.9	493.9	578.6	373.5	102.1	36.5	2789.6	232.5	12
1972	109.9	40.9	53.2	42.9	47.8	389.6	200.7	296.6	213.71	188.71	109.3	74.4	1767.72	147.3	12
1973	47.1	84.2	5.7	21.1	172.8	362.9	363.3	652.4	356.8	415.5	198.5	63.2	2743.5	228.6	12
1974	111.7	152.4		210.3	192.2		186.6	230.3	421.6	326.01	101.2	21.3	1953.61	195.4	10
1975	74.7	43.8		25.2	67.3	176.9	77.4	172.4	522.6	468.7	290.5	61.8	1981.3	180.1	11
1976	167.5	97.4	52.2	23.7	100.4	246.9	216.6	444.5	228.51	211.8			1789.51	179	10
MÍNIMA	47.1	40.9	5.7	17.2	47.8	176.9	77.4	172.4	213.71	188.71	101.2	12	834.1	147.3	4
MÁXIMA	167.5	152.4	53.2	210.3	192.2	389.6	543.9	652.4	578.6	468.7	290.5	74.4	2789.6	232.5	12
MEDIA	95.7	77.6	34.7	56.7	122	306.1	264.8	381.7	385.3	322.7	162.3	44.9	1979.9	195.9	10.1
DESV.ST	43.5	43.5	22.6	75.8	58.9	90.4	164.5	181	136.9	104.1	74.8	25.3	662.5	30.2	2.9

EVAPORACIÓN MENSUAL
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1970					169.47	179.61							349.08	174.5	2
MÍNIMA					169.47	179.61							349.08	174.5	2
MÁXIMA					169.47	179.61							349.08	174.5	2
MEDIA					169.5	179.6							349.1	174.5	2
DESV.ST															

TEMPERATURA MÁXIMA PROMEDIO
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1970					34.6	35.7								35.2	2
