COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 7316 
 NOMBRE    : EL AMBAR DE ECHEVERRIA 
 ESTADO    : CHIAPAS 
 MUNICIPIO : LA CONCORDIA 
 SITUACIÓN : SUSPENDIDA 
 CVE-OMM   :   
 LATITUD   : 16.0975 ° 
 LONGITUD  : -92.83333333 ° 
 ALTITUD   : 550 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1980	3		1.1	1.5	8	90	100	28			30		261.6	32.7	8
1981	0	29	30	10	40	51	69	82	34	0	0	0	345	28.8	12
1982	0	2	0	0	89	106	42	42	63	42	19	0	405	33.8	12
1983	0	18	0	0	18	24	46	0	29	26	0	0	161	13.4	12
1984	0.01	0	0	0	39	61	39	46	48	23	0	0	256.01	21.3	12
1985	0	0	0	0.01	9	111	48	42	42	32	18	19	321.01	26.8	12
1986	6.4	0	0.01		38	64	8.4	24	24	37	0.01	0	201.82	18.3	11
1987	0	0.01	0.01	0.01	6.8	28	68		58	0.01	0.01	0	160.85	14.6	11
1988	0.01	0.01	0	0			31	25.8	5	3.4	0.01	0	65.23	6.5	10
1989	0	0.01		1.8	9	9.9	9	9	11.5		0.01	0	50.22	5	10
1990	0	0	0.01	22	46.6	40	82	26	36	16	0.01		268.62	24.4	11
MÍNIMA	0	0	0	0	6.8	9.9	8.4	0	5	0	0	0	50.22	5	8
MÁXIMA	6.4	29	30	22	89	111	100	82	63	42	30	19	405	33.8	12
MEDIA	0.9	4.9	3.1	3.5	30.3	58.5	49.3	32.5	35	19.9	6.1	2.1	226.9	20.5	11
DESV.ST	2	10.2	9.5	7.2	25.9	34.8	28.6	22.6	18.7	16	10.8	6.3	111.8	9.9	1.3

LLUVIA TOTAL MENSUAL
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1980	5		1.1	1.5	38.2	289	517	122			50		1023.8	128	8
1981	0	35	41	14	201	263	221	199	122	0	0	0	1096	91.3	12
1982	0	2	0	0	462	480	175	255.4	461	157	26	0	2018.4	168.2	12
1983	0	18	0	0	31.1	80.1	241	0	84	44	0	0	498.2	41.5	12
1984	0.02	0	0	0	330.03	318.04	208.22	141.09	249.08	23.02	0	0	1269.5	105.8	12
1985	0	0	0	0.05	27.23	133.16	278.13	340.06	225.1	135.01	32.2	19.01	1189.95	99.2	12
1986	24.73	0	0.02		112.66	253.07	27.67	40.11	59.11	56.07	0.04	0	573.48	52.1	11
1987	0	0.01	0.04	0.04	19.3	186.09	410.1		319.9	0.02	0.01	0	935.51	85	11
1988	0.03	0.01	0	0			148.6	85.31	24.96	4.75	0.02	0	263.68	26.4	10
1989	0	0.02		1.81	47.55	57.6	28.65	65.76	57.05		0.01	0	258.45	25.8	10
1990	0	0	0.02	59.02	355.66	368.12	367.06	163.08	273.1	52.09	0.06		1638.21	148.9	11
MÍNIMA	0	0	0	0	19.3	57.6	27.67	0	24.96	0	0	0	258.45	25.8	8
MÁXIMA	24.73	35	41	59.02	462	480	517	340.06	461	157	50	19.01	2018.4	168.2	12
MEDIA	2.7	5.5	4.2	7.6	162.5	242.8	238.4	141.2	187.5	52.4	9.8	2.1	978.7	88.4	11
DESV.ST	7.5	11.8	12.9	18.6	164.6	131.8	150.6	103.1	141.3	57.5	17.7	6.3	555.7	48.3	1.3

EVAPORACIÓN MENSUAL
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1981					59.9								59.9	59.9	1
MÍNIMA					59.9								59.9	59.9	1
MÁXIMA					59.9								59.9	59.9	1
MEDIA					59.9								59.9	59.9	1
DESV.ST															

TEMPERATURA MÁXIMA PROMEDIO
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1980	17.2													17.2	1
1989				7.2										7.2	1
1990											27.7			27.7	1
MÍNIMA	17.2			7.2							27.7			7.2	1
MÁXIMA	17.2			7.2							27.7			27.7	1
MEDIA	17.2			7.2							27.7			17.4	1
DESV.ST														10.3	0

TEMPERATURA MÁXIMA EXTREMA
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1980	23.8													23.8	1
1989				10										10	1
1990											31			31	1
MÍNIMA	23.8			10							31			10	1
MÁXIMA	23.8			10							31			31	1
MEDIA	23.8			10							31			21.6	1
DESV.ST														10.7	0

TEMPERATURA MÍNIMA PROMEDIO
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1980	-1.4													-1.4	1
1989				1.4										1.4	1
1990											19.7			19.7	1
MÍNIMA	-1.4			1.4							19.7			-1.4	1
MÁXIMA	-1.4			1.4							19.7			19.7	1
MEDIA	-1.4			1.4							19.7			6.6	1
DESV.ST														11.5	0

TEMPERATURA MÍNIMA EXTREMA
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1980	-12													-12	1
1989				0										0	1
1990											14			14	1
MÍNIMA	-12			0							14			-12	1
MÁXIMA	-12			0							14			14	1
MEDIA	-12			0							14			0.7	1
DESV.ST														13	0

TEMPERATURA MEDIA MENSUAL
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1980	7.9													7.9	1
1989				4.3										4.3	1
1990											23.7			23.7	1
MÍNIMA	7.9			4.3							23.7			4.3	1
MÁXIMA	7.9			4.3							23.7			23.7	1
MEDIA	7.9			4.3							23.7			12	1
DESV.ST														10.3	0
