COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 3136 
 NOMBRE    : LOS FILOS 
 ESTADO    : BAJA CALIFORNIA SUR 
 MUNICIPIO : LA PAZ 
 SITUACIÓN : SUSPENDIDA 
 CVE-OMM   :   
 LATITUD   : 23.96666667 ° 
 LONGITUD  : -110.4666667 ° 
 ALTITUD   : 169 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
MÁXIMA	12	13.5	13.9	14.6	14.5	18.9	20.5	22.5	19.7	18.7	13.8	12		16.3	12
MEDIA	10.9	11.4	10.7	12.2	12.7	15.8	17.7	21.1	18.4	17.8	13	11.4		14.4	7.5
DESV.ST	1.6	3	2.8	2.3	1.8	3	4.3	1.3	1.8	1.3	1.1	0.8		2.2	3.4

TEMPERATURA MÍNIMA EXTREMA
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1978							9	18	16	13	9	5		11.7	6
1979	5	5	5	6	8	12	16	17	14	12	6	6		9.3	12
1980	8	9	10	11	10	15	17	21						12.6	8
1981			4	7	10	11								8	4
MÍNIMA	5	5	4	6	8	11	9	17	14	12	6	5		8	4
MÁXIMA	8	9	10	11	10	15	17	21	16	13	9	6		12.6	12
MEDIA	6.5	7	6.3	8	9.3	12.7	14	18.7	15	12.5	7.5	5.5		10.4	7.5
DESV.ST	2.1	2.8	3.2	2.6	1.2	2.1	4.4	2.1	1.4	0.7	2.1	0.7		2.1	3.4

TEMPERATURA MEDIA MENSUAL
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1978							23.3	28.3	26.3	25.4	20.5	16.7		23.4	6
1979	15.3	16	17.6	19.2	19.6	24.5	27.4	27.3	25.5	25.8	21.4	18.7		21.5	12
1980	18.9	20.9	21	22.4	23.1	27.3	28.4	29.3						23.9	8
1981			17.9	21.2	21	20.9								20.2	4
MÍNIMA	15.3	16	17.6	19.2	19.6	20.9	23.3	27.3	25.5	25.4	20.5	16.7		20.2	4
MÁXIMA	18.9	20.9	21	22.4	23.1	27.3	28.4	29.3	26.3	25.8	21.4	18.7		23.9	12
MEDIA	17.1	18.4	18.8	20.9	21.2	24.2	26.4	28.3	25.9	25.6	21	17.7		22.2	7.5
DESV.ST	2.5	3.5	1.9	1.6	1.8	3.2	2.7	1	0.6	0.3	0.6	1.4		1.7	3.4
