1996	0	0	0	17.2	0	0	0	0	0	0	0	0	17.2	1.4	12
1997	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12
1998	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12
1999	0	0	0	0	0	0			0	0	0	0	0	0	10
2000			0	0	0.2	0	0	0					0.2	0	6
2001	0	0	0			0							0	0	4
MÍNIMA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
MÁXIMA	6.5	15	0	17.2	0.2	0	0	3	0	0	0	4	21.5	1.8	12
MEDIA	0.3	0.8	0	0.9	0	0	0	0.2	0	0	0	0.2	2.1	0.2	10.6
DESV.ST	1.5	3.4	0	3.8	0	0	0	0.7	0	0	0	0.9	5.7	0.5	3

LLUVIA TOTAL MENSUAL
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1967											0		0	0	1
1981	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12
1982	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12
1983	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12
1984	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12
1985	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12
1986	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12
1987	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12
1988	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12
1989	0			0	0	0	0	0	0	0	0	0	0	0	10
1990	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12
1991	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12
1992	6.5	28	0	0	0	0	0	0	0	0	0	0	34.5	2.9	12
1993	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12
1994	0	0	0	0	0	0		0	0	0	0	7	7	0.6	11
1995	0	0	0	0	0	0	0	3	0	0	0	0	3	0.2	12
1996	0	0	0	17.2	0	0	0	0	0	0	0	0	17.2	1.4	12
1997	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12
1998	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12
1999	0	0	0	0	0	0			0	0	0	0	0	0	10
2000			0	0	0.2	0	0	0					0.2	0	6
2001	0	0	0			0							0	0	4
MÍNIMA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
MÁXIMA	6.5	28	0	17.2	0.2	0	0	3	0	0	0	7	34.5	2.9	12
MEDIA	0.3	1.5	0	0.9	0	0	0	0.2	0	0	0	0.4	2.8	0.2	10.6
DESV.ST	1.5	6.4	0	3.8	0	0	0	0.7	0	0	0	1.6	8.1	0.7	3

TEMPERATURA MÁXIMA PROMEDIO
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1982								29.1						29.1	1
MÍNIMA								29.1						29.1	1
MÁXIMA								29.1						29.1	1
MEDIA								29.1						29.1	1
DESV.ST															

TEMPERATURA MÁXIMA EXTREMA
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1982								32						32	1
MÍNIMA								32						32	1
MÁXIMA								32						32	1
MEDIA								32						32	1
DESV.ST															

TEMPERATURA MÍNIMA PROMEDIO
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1982								25.7						25.7	1
MÍNIMA								25.7						25.7	1
MÁXIMA								25.7						25.7	1
MEDIA								25.7						25.7	1
DESV.ST															

TEMPERATURA MÍNIMA EXTREMA
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1982								24						24	1
MÍNIMA								24						24	1
MÁXIMA								24						24	1
MEDIA								24						24	1
DESV.ST															

TEMPERATURA MEDIA MENSUAL
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1982								27.4						27.4	1
MÍNIMA								27.4						27.4	1
MÁXIMA								27.4						27.4	1
MEDIA								27.4						27.4	1
DESV.ST															
